comment,date_time,color,size,thumb_up,thumb_down,prod_eval,prod,brand,cleaned_comment,lemma_comment
"Долго выбирала миксер...много читала в интернете и в итоге остановилась на нем...Миксер просто огонь...для меня свободные руки очень важны...взбивает,мешает,экономит моё время...просто умничка.🥰 Благодаря таким изобритениям жить становится легче . Комплектация как заявлена в инструкции. Да кстати...у меня в коробке была лопаточка силиконовая 😊 она простая,удобная и я как раз хотела покупать себе ещё одну...а тут подарочек😁 спасибо 😊",2020-10-04T08:07:07Z,фиолетовый,0,18,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,долго выбирала миксер много читала интернете итоге остановилась нем миксер просто огонь для свободные руки важны взбивает мешает экономит моё время просто умничка 🥰 благодаря таким изобритениям жить становится легче комплектация заявлена инструкции кстати у коробке лопаточка силиконовая простая удобная хотела покупать ещё одну а подарочек,долго выбирать читать интернет итог останавливаться немой просто огонь свободный рука важный взбивать мешать экономить время просто умничек благодаря изобритений жить становиться легко комплектация заявлять инструкция кстати коробка лопаточка силиконовый простой удобный хотеть покупать подарочек
"Миксер отличный!!! Экономит моё время!!! Крем смешивает отлично!!! В подарок дали лопатку силиконовую,приятно🙂 Рекомендую!!!",2020-10-09T17:11:29Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,отличный экономит моё время крем смешивает отлично подарок дали лопатку силиконовую приятно рекомендую,экономить время крем смешивать отлично подарок давать лопатка силиконовый приятно рекомендовать
Спасибо большое!! Миксер супер!!!!!,2020-10-09T14:54:13Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,большое супер,большой
"Отличный миксер, рекомендую!",2020-10-09T13:00:37Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,миксер рекомендую,рекомендовать
Классный миксер. Покупала в подарок. Пришёл в идеальном состоянии.,2020-10-08T12:17:41Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,классный миксер покупала подарок пришёл идеальном состоянии,классный покупать подарок приходить идеальный состояние
"Миксер просто супер !!! Мощный,удобный и красивый!!!Я очень довольна покупкой такого замечательного помощника на кухне! Цена ниже чем где либо...",2020-10-04T17:45:56Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,просто мощный удобный красивый я довольна покупкой такого замечательного помощника кухне цена ниже либо,просто мощный удобный красивый довольный покупка замечательный помощник кухня цена ниже либо
Просто супер !,2020-10-07T21:21:56Z,фиолетовый,0,5,1,5,Миксер планетарный SPM7167 1600Вт,StarWind,просто,просто
"Долго смотрела на этот миксер,читала и решилась таки заказать. Пришёл очень хорошо упакован,все в целости. Дизайн очень стильный. Попробовала дома в эксплуатации, сбил зефирную массу за минуты быстро и качественно. Я в восторге)рекомендую.",2020-10-07T18:04:07Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,долго смотрела миксер читала решилась таки заказать пришёл упакован все целости дизайн стильный попробовала дома эксплуатации сбил зефирную массу минуты быстро качественно восторге рекомендую,долго смотреть читать решаться таки заказывать приходить упаковывать весь целость дизайн стильный попробовать дом эксплуатация сбивать зефирный масса минута быстро качественно восторг рекомендовать
"Просто  прекрасно, счастью  нет предела. 2 белка и 120гр сахара взбил за несколько  минут. Но нет гарантийного  талона",2020-10-07T12:15:12Z,фиолетовый,0,1,1,5,Миксер планетарный SPM7167 1600Вт,StarWind,просто прекрасно счастью предела белка гр сахара взбил несколько минут гарантийного талона,просто прекрасный счастие предел белка сахар взбивать несколько минута гарантийный талон
"Не смогла пройти мимо такого красавца. Меня не остановило то, что фасады у меня на кухне винного цвета))
пользуюсь вторую неделю. теперь у нас пирожки/пиццы через день. С тестом справляется с любым - пирожковое, пельменное, бисквит для сметанника - все это за 3 минуты легко., просто в шоке! 
А вот с яйцами засада, не взбивает. И не у одной меня так. Почему?",2020-10-06T18:04:40Z,фиолетовый,0,5,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,смогла пройти мимо такого красавца остановило то фасады кухне винного цвета пользуюсь вторую неделю пирожки пиццы день тестом справляется любым пирожковое пельменное бисквит сметанника минуты легко просто шоке а яйцами засада взбивает одной так почему?,смочь проходить мимо красавец останавливать фасад кухня винный цвет пользоваться второй неделя пирожок пицца день тесто справляться любой пирожковый пельменный бисквит сметанник минута легко просто шок яйцо засада взбивать почему?
"Готовила белковый заварной крем из двух желтков, справился на отлично. Если не взбивает 1 желток просто приподнимите чуточку чашу и все хорошо. Это теперь моя любовь.",2020-10-06T10:26:08Z,фиолетовый,0,3,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,готовила белковый заварной крем двух желтков справился отлично взбивает желток просто приподнимите чуточку чашу хорошо любовь,готовить белковый заварной крем желток справляться отлично взбивать желток просто приподымать чуточку чаша любовь
Это мой первый миксер такого плана. Пришёл полный комплект с лопаткой в подарок. В пункте выдачи заполнили гарантийный талон. Работает. После того как испытаю дополню отзыв.,2020-10-05T18:59:18Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,первый такого плана пришёл полный комплект лопаткой подарок пункте выдачи заполнили гарантийный талон работает испытаю дополню отзыв,первый план приходить полный комплект лопатка подарок пункт выдача заполнять гарантийный талон работать испытывать дополнять
